image,prompt,region,age,gender,race,emotion
"05196-3400280076-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 71, 'y': 107, 'w': 185, 'h': 185}",33,Man,latino hispanic,happy
"05231-3400280111-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",30,Man,white,angry
"05184-3400280064-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",28,Woman,white,fear
"05248-3400280128-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 174, 'y': 97, 'w': 153, 'h': 153}",32,Man,white,neutral
"05175-3400280055-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",27,Man,middle eastern,neutral
"05246-3400280126-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",28,Man,white,neutral
"05193-3400280073-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 110, 'y': 63, 'w': 290, 'h': 290}",45,Man,white,neutral
"05228-3400280108-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",34,Man,asian,fear
"05226-3400280106-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 220, 'y': 156, 'w': 102, 'h': 102}",38,Man,white,neutral
"05180-3400280060-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 225, 'y': 36, 'w': 116, 'h': 116}",34,Woman,white,happy
"05240-3400280120-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",29,Man,asian,sad
"05172-3400280052-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 220, 'y': 36, 'w': 138, 'h': 138}",35,Man,white,sad
"05201-3400280081-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",48,Man,latino hispanic,fear
"05229-3400280109-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",35,Man,black,neutral
"05176-3400280056-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 23, 'y': 62, 'w': 360, 'h': 360}",37,Woman,white,sad
"05155-3400280035-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 171, 'y': 76, 'w': 159, 'h': 159}",27,Woman,white,neutral
"05188-3400280068-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",25,Man,white,sad
